OrdreOrig;Stimulus;Sequence;Liste tournante 5;Liste tournante 4
112;Adrien_ga-8bands-fc-128-NoiseCarrier.wav;Adrien_ga;4;3
113;Adrien_ga-12bands-fc-128-NoiseCarrier.wav;Adrien_ga;5;1
114;Adrien_ga-16bands-fc-128-NoiseCarrier.wav;Adrien_ga;1;2
115;Adrien_ga-22bands-fc-128-NoiseCarrier.wav;Adrien_ga;2;3
116;Adrien_gy-4bands-fc-128-NoiseCarrier.wav;Adrien_gy;4;4
117;Adrien_gy-8bands-fc-128-NoiseCarrier.wav;Adrien_gy;5;2
118;Adrien_gy-12bands-fc-128-NoiseCarrier.wav;Adrien_gy;1;3
119;Adrien_gy-16bands-fc-128-NoiseCarrier.wav;Adrien_gy;2;4
120;Adrien_gy-22bands-fc-128-NoiseCarrier.wav;Adrien_gy;3;1
121;Adrien_g2-4bands-fc-128-NoiseCarrier.wav;Adrien_g2;5;3
122;Adrien_g2-8bands-fc-128-NoiseCarrier.wav;Adrien_g2;1;4
123;Adrien_g2-12bands-fc-128-NoiseCarrier.wav;Adrien_g2;2;1
124;Adrien_g2-16bands-fc-128-NoiseCarrier.wav;Adrien_g2;3;2
125;Adrien_g2-22bands-fc-128-NoiseCarrier.wav;Adrien_g2;4;4
126;Adrien_gu-4bands-fc-128-NoiseCarrier.wav;Adrien_gu;1;1
127;Adrien_gu-8bands-fc-128-NoiseCarrier.wav;Adrien_gu;2;2
128;Adrien_gu-12bands-fc-128-NoiseCarrier.wav;Adrien_gu;3;3
129;Adrien_gu-16bands-fc-128-NoiseCarrier.wav;Adrien_gu;4;1
130;Adrien_gu-22bands-fc-128-NoiseCarrier.wav;Adrien_gu;5;2
131;Adrien_go-4bands-fc-128-NoiseCarrier.wav;Adrien_go;2;3
132;Adrien_go-8bands-fc-128-NoiseCarrier.wav;Adrien_go;3;4
133;Adrien_go-12bands-fc-128-NoiseCarrier.wav;Adrien_go;4;2
134;Adrien_go-16bands-fc-128-NoiseCarrier.wav;Adrien_go;5;3
135;Adrien_go-22bands-fc-128-NoiseCarrier.wav;Adrien_go;1;4
136;Adrien_ga~-4bands-fc-128-NoiseCarrier.wav;Adrien_ga~;3;1
137;Adrien_ga~-8bands-fc-128-NoiseCarrier.wav;Adrien_ga~;4;3
138;Adrien_ga~-12bands-fc-128-NoiseCarrier.wav;Adrien_ga~;5;4
139;Adrien_ga~-16bands-fc-128-NoiseCarrier.wav;Adrien_ga~;1;1
140;Adrien_ga~-22bands-fc-128-NoiseCarrier.wav;Adrien_ga~;2;2
141;Adrien_go~-4bands-fc-128-NoiseCarrier.wav;Adrien_go~;4;4
142;Adrien_go~-8bands-fc-128-NoiseCarrier.wav;Adrien_go~;5;1
143;Adrien_go~-12bands-fc-128-NoiseCarrier.wav;Adrien_go~;1;2
144;Adrien_go~-16bands-fc-128-NoiseCarrier.wav;Adrien_go~;2;3
145;Adrien_go~-22bands-fc-128-NoiseCarrier.wav;Adrien_go~;3;1
146;Adrien_ge~-4bands-fc-128-NoiseCarrier.wav;Adrien_ge~;5;2
147;Adrien_ge~-8bands-fc-128-NoiseCarrier.wav;Adrien_ge~;1;3
148;Adrien_ge~-12bands-fc-128-NoiseCarrier.wav;Adrien_ge~;2;4
149;Adrien_ge~-16bands-fc-128-NoiseCarrier.wav;Adrien_ge~;3;2
150;Adrien_ge~-22bands-fc-128-NoiseCarrier.wav;Adrien_ge~;4;3
