nbsylls;phrasecompl;Phrase porteuse(CN)   ;Traduction;Caractère(CN);Type;Traduction du caractère;Phrase porteuse (pinyin);Phrase porteuse (SAMPA-C);Syllabe sans ton (pinyin) ;Ton;Syllabe avec ton (pinyin)Pinyin diacritique;Syllable avec ton (SAMPA-C)
5;这个字念拔?;这个字念;Ce caractère se prononce ;拔;?;arracher;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;ba;T2;bá;"pa_""_2"
5;这个字念把.;这个字念;Ce caractère se prononce ;把;.;poignée;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;ba;T3;bǎ;"pa_""_3"
5;这个字念爸?;这个字念;Ce caractère se prononce ;爸;?;papa;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;ba;T4;bà;"pa_""_4"
5;这个字读逼.;这个字读;Ce caractère se prononce ;逼;.;forcer;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;bi;T1;bī;pi_1
5;这个字读鼻?;这个字读;Ce caractère se prononce ;鼻;?;nez;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;bi;T2;bí;pi_2
5;这个字读比.;这个字读;Ce caractère se prononce ;比;.;comparer;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;bi;T3;bǐ;pi_3
5;这个字读必?;这个字读;Ce caractère se prononce ;必;?;sûrement;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;bi;T4;bì;pi_4
5;这个字念逼.;这个字念;Ce caractère se prononce ;逼;.;forcer;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;bi;T1;bī;pi_1
5;这个字念鼻?;这个字念;Ce caractère se prononce ;鼻;?;nez;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;bi;T2;bí;pi_2
5;这个字念比.;这个字念;Ce caractère se prononce ;比;.;comparer;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;bi;T3;bǐ;pi_3
5;这个字念必?;这个字念;Ce caractère se prononce ;必;?;sûrement;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;bi;T4;bì;pi_4
5;这个字读嗒.;这个字读;Ce caractère se prononce ;嗒;.;tac;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;da;T1;dā;"ta_""_1 "
5;这个字读答?;这个字读;Ce caractère se prononce ;答;?;répondre;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;da;T2;dá;"ta_""_2"
5;这个字读打.;这个字读;Ce caractère se prononce ;打;.;frapper;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;da;T3;dǎ;"ta_""_3"
5;这个字读大?;这个字读;Ce caractère se prononce ;大;?;grand;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;da;T4;dà;"ta_""_4"
5;这个字念嗒.;这个字念;Ce caractère se prononce ;嗒;.;tac;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;da;T1;dā;"ta_""_1 "
5;这个字念答?;这个字念;Ce caractère se prononce ;答;?;répondre;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;da;T2;dá;"ta_""_2"
5;这个字念打.;这个字念;Ce caractère se prononce ;打;.;frapper;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;da;T3;dǎ;"ta_""_3"
5;这个字念大?;这个字念;Ce caractère se prononce ;大;?;grand;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;da;T4;dà;"ta_""_4"
5;这个字读敌.;这个字读;Ce caractère se prononce ;敌;.;ennemi;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;di;T2;dí;ti_2
5;这个字读底?;这个字读;Ce caractère se prononce ;底;?;fond;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;di;T3;dǐ;ti_3
5;这个字读第.;这个字读;Ce caractère se prononce ;第;.;préfixe qui exprime un nombre ordinal;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;di;T4;dì;ti_4
5;这个字念滴?;这个字念;Ce caractère se prononce ;滴;?;goutte;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;di;T1;dī;ti_1
5;这个字念敌.;这个字念;Ce caractère se prononce ;敌;.;ennemi;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;di;T2;dí;ti_2
5;这个字念底?;这个字念;Ce caractère se prononce ;底;?;fond;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;di;T3;dǐ;ti_3
5;这个字念第.;这个字念;Ce caractère se prononce ;第;.;préfixe qui exprime un nombre ordinal;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;di;T4;dì;ti_4
5;这个字读渣?;这个字读;Ce caractère se prononce ;渣;?;résidu;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;zha;T1;zhā;"ts`a_""_1 "
5;这个字读闸.;这个字读;Ce caractère se prononce ;闸;.;vanne;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;zha;T2;zhá;"ts`a_""_2"
5;这个字读眨?;这个字读;Ce caractère se prononce ;眨;?;clignoter;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;zha;T3;zhǎ;"ts`a_""_3"
5;这个字读榨.;这个字读;Ce caractère se prononce ;榨;.;presser;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;zha;T4;zhà;"ts`a_""_4"
5;这个字念渣?;这个字念;Ce caractère se prononce ;渣;?;résidu;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;zha;T1;zhā;"ts`a_""_1 "
5;这个字念闸.;这个字念;Ce caractère se prononce ;闸;.;vanne;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;zha;T2;zhá;"ts`a_""_2"
5;这个字念眨?;这个字念;Ce caractère se prononce ;眨;?;clignoter;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;zha;T3;zhǎ;"ts`a_""_3"
5;这个字念榨.;这个字念;Ce caractère se prononce ;榨;.;presser;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;zha;T4;zhà;"ts`a_""_4"
5;这个字读直?;这个字读;Ce caractère se prononce ;直;?;droit;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;zhi;T2;zhí;ts`i_2
5;这个字读纸.;这个字读;Ce caractère se prononce ;纸;.;papier;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;zhi;T3;zhǐ;ts`i_3
5;这个字读置?;这个字读;Ce caractère se prononce ;置;?;placer;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;zhi;T4;zhì;ts`i_4
5;这个字念汁.;这个字念;Ce caractère se prononce ;汁;.;jus;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;zhi;T1;zhī;ts`i_1
5;这个字念直?;这个字念;Ce caractère se prononce ;直;?;droit;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;zhi;T2;zhí;ts`i_2
5;这个字念纸.;这个字念;Ce caractère se prononce ;纸;.;papier;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;zhi;T3;zhǐ;ts`i_3
5;这个字念置?;这个字念;Ce caractère se prononce ;置;?;placer;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;zhi;T4;zhì;ts`i_4
