Tableau 1;5;Tableau 1;;;;;;;;;
Phrase porteuse(CN)   Caractère(CN);5;Phrase porteuse(CN)   ;Traduction;Caractère(CN);Traduction du caractère;Phrase porteuse (pinyin);Phrase porteuse (SAMPA-C);Syllabe sans ton (pinyin) ;Ton;Syllabe avec ton (pinyin)Pinyin diacritique;Syllable avec ton (SAMPA-C)
这个字念答;5;这个字念;Ce caractère se prononce ;答;répondre;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;da;T2;dá;ta_"_2
这个字念打;5;这个字念;Ce caractère se prononce ;打;frapper;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;da;T3;dǎ;ta_"_3
这个字念大;5;这个字念;Ce caractère se prononce ;大;grand;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;da;T4;dà;ta_"_4
;5;;;;;;;;;;
这个字读滴;5;这个字读;Ce caractère se prononce ;滴;goutte;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;di;T1;dī;ti_1
这个字读敌;5;这个字读;Ce caractère se prononce ;敌;ennemi;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;di;T2;dí;ti_2
这个字读底;5;这个字读;Ce caractère se prononce ;底;fond;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;di;T3;dǐ;ti_3
这个字读第;5;这个字读;Ce caractère se prononce ;第;préfixe qui exprime un nombre ordinal;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;di;T4;dì;ti_4
这个字念滴;5;这个字念;Ce caractère se prononce ;滴;goutte;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;di;T1;dī;ti_1
这个字念敌;5;这个字念;Ce caractère se prononce ;敌;ennemi;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;di;T2;dí;ti_2
这个字念底;5;这个字念;Ce caractère se prononce ;底;fond;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;di;T3;dǐ;ti_3
这个字念第;5;这个字念;Ce caractère se prononce ;第;préfixe qui exprime un nombre ordinal;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;di;T4;dì;ti_4
;5;;;;;;;;;;
这个字读渣;5;这个字读;Ce caractère se prononce ;渣;résidu;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;zha;T1;zhā;ts`a_"_1 
这个字读闸;5;这个字读;Ce caractère se prononce ;闸;vanne;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;zha;T2;zhá;ts`a_"_2
这个字读眨;5;这个字读;Ce caractère se prononce ;眨;clignoter;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;zha;T3;zhǎ;ts`a_"_3
这个字读榨;5;这个字读;Ce caractère se prononce ;榨;presser;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;zha;T4;zhà;ts`a_"_4
这个字念渣;5;这个字念;Ce caractère se prononce ;渣;résidu;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;zha;T1;zhā;ts`a_"_1 
这个字念闸;5;这个字念;Ce caractère se prononce ;闸;vanne;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;zha;T2;zhá;ts`a_"_2
这个字念眨;5;这个字念;Ce caractère se prononce ;眨;clignoter;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;zha;T3;zhǎ;ts`a_"_3
这个字念榨;5;这个字念;Ce caractère se prononce ;榨;presser;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;zha;T4;zhà;ts`a_"_4
;5;;;;;;;;;;
这个字读汁;5;这个字读;Ce caractère se prononce ;汁;jus;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;zhi;T1;zhī;ts`i_1
这个字读直;5;这个字读;Ce caractère se prononce ;直;droit;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;zhi;T2;zhí;ts`i_2
这个字读纸;5;这个字读;Ce caractère se prononce ;纸;papier;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;zhi;T3;zhǐ;ts`i_3
这个字读置;5;这个字读;Ce caractère se prononce ;置;placer;Zhège zì dú;ts` 7_4 ke_0 tsi_4 tu_2;zhi;T4;zhì;ts`i_4
这个字念汁;5;这个字念;Ce caractère se prononce ;汁;jus;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;zhi;T1;zhī;ts`i_1
这个字念直;5;这个字念;Ce caractère se prononce ;直;droit;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;zhi;T2;zhí;ts`i_2
这个字念纸;5;这个字念;Ce caractère se prononce ;纸;papier;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;zhi;T3;zhǐ;ts`i_3
这个字念置;5;这个字念;Ce caractère se prononce ;置;placer;Zhège zì niàn;ts` 7_4 ke_0 tsi_4 niE_n_4;zhi;T4;zhì;ts`i_4
